0,What an incredible victory. I agree the Kenyans should have been celebrated at the end. This was an incredible performance.
1,❤
2,“Claudia is an amazonian goddess with a beautiful clam!” - Bruce Wayne
3,Proud of my motherland Kenya ❤❤❤and Africa.at large
4,Damn
5,Kenya you should proud of yr self❤❤❤❤
6,Well done team Kenya❤
7,"This channel is racist! Report the channel, it edited the video to favor the white and not show the Kenyans receiving the medal 🥇"
8,"Congs Kenya, lots of love from Uganda"
9,"Just WOW Kenya, what a run, what a stamina!"
10,I'm a south African love kenyans
11,"Why are the most famous women in the world always reduced to performing in their underwear? Its ridiculous, unnecessary sexual objectification, just stop it."
12,Nice
13,Cherono 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🪽
14,We compete with time Kenyans 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪❤️❤️❤️❤️❤️
15,Algorithm finally did something right
16,They even rounded the last athlete
17,It's shows how weak and how lousy U.S.A. and Australian athletes...Kenyans are black diamonds pearl very good disciplines athletes..well done KENYANS.
18,"Very shameful of world athletics committee to be controlled by Whites from announcers to the stage controllers highlighting the pace of the Australians over the winning champions who were demonstrably in a league of their own in obliteraterating the records in the event.  Faith Kipyegoni,Obiri and Chirono, despite challenge by the Ethiopian women in middle distance running, continue to dominate the Olympics, the World Championships, and the Diamond League over the same distance to date. Very little was showered on this epic journey for the Africans at this event, except for the likes of Steve Ovettts' of the world begrudgingly acknowledging the marvel of central African women's dominace. It's a shame!!"
19,Those Kenyan girls made that run look effortless. Absolute poetry in motion. Unbelievable. Congratulations from Canada.
20,"Kenyans are custom made by God, keep chasing them you will never catch them"
21,"great , i can t believe"
22,When was this race held... ?
23,Kenya to the World. Well done girls 🇰🇪🇰🇪🇰🇪😆🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪
24,My country is just wow..we love u Cheps
25,Congratulations 🎉
26,Congratulations kenya. A good one indeed.
27,It does not seem like a surprise when Kenyans are great runners congratulations🎉❤
28,Kipyegon faith my best all day every day but in this race Obiri was outstanding
29,Obliterate the record that’s the Kenyan women mentality. Am proud to come from a Kenyan woman’s womb proud of you ladies keep blazing those trails !❤
30,Beautiful. Really epic! ♥♥
31,Congrats to the legends Kenyan ladies
32,"Kenyans, we are incredible!"
33,Can't get enough of this race
34,I know Kenyan did better than the rest! I support our neighbours Kenya 👏👏👏🇺🇬
35,❤❤❤  thank u Kenya .from kenya
36,What happened ??? Wow …this world is not mad right ..where are the Kenyan team not on podium??? Celebrating?????????
37,They are beautiful ❤
38,I just ❤ Kenyan ladies very energetic and strategic.Well done to trainers ❤ and God bless Africa. The true nature of God made species.
39,wonderful stuff
40,"That's what we are made of.
Congrats my cousins."
41,"Woooow Kenya,"
42,"Woooow Kenya,"
43,🇰🇪🇰🇪🇰🇪 Kenyan
44,The Americans were very handedly in second...how did they get third?
45,"Shame on you  *90+ legends*. for your bias . Where are 🇰🇪 Kenyan girls , dominantly winners ?
Do you know what's  FAIR PLAY  in Sports ?
🏅 Girls . Well done 👏"
46,I didn't watch this to the end the first time. Sometimes people don't know or they know but ignore  bias . Did you show the winners at the end or what did i see?
